"Codigo_Municipio";"Municipio";"0201 Coleta de material";"0209 Diagnostico por endoscopia";"0211 Metodos diagnosticos em especialidades";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0402 Cirurgia de glandulas endocrinas";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"Total"
"320313";"JOAO NEIVA";0;0;0;10;70;5;4;6;6;0;0;4;0;0;6;29;20;19;1;16;3;0;1;13;2;0;0;0;0;0;215
"320316";"LARANJA DA TERRA";0;0;0;1;84;5;7;2;6;1;0;0;0;0;14;15;34;4;0;7;2;0;0;5;4;0;0;0;0;0;191
"320320";"LINHARES";0;6;0;112;920;89;55;163;217;6;0;7;5;3;156;139;174;95;2;284;39;9;0;128;84;0;0;0;1;2;2696
"320330";"MANTENOPOLIS";0;0;0;10;60;0;4;1;11;0;0;1;1;0;9;7;15;2;1;20;0;0;0;6;4;0;0;0;0;0;152
"320332";"MARATAIZES";0;1;0;10;295;48;34;22;35;5;0;0;7;4;21;72;31;12;0;70;5;2;0;61;7;0;0;0;0;0;742
"320334";"MARECHAL FLORIANO";0;1;0;18;120;10;5;2;13;3;0;5;4;0;2;14;18;5;0;28;0;0;0;13;10;0;0;0;0;0;271
"320335";"MARILANDIA";0;0;0;16;32;7;0;0;12;0;0;2;1;1;11;12;12;2;0;16;0;0;0;13;4;0;0;0;0;0;141
"320340";"MIMOSO DO SUL";1;0;0;66;227;25;15;26;7;2;0;1;4;0;10;28;12;33;0;28;1;1;4;28;5;0;0;0;0;0;524
"320350";"MONTANHA";0;0;0;2;214;6;11;10;31;1;0;1;1;1;2;6;21;4;1;21;1;4;0;5;6;0;0;0;1;0;350
"320360";"MUCURICI";1;0;0;0;106;9;3;2;12;1;0;1;0;0;1;3;2;0;0;6;0;2;0;2;1;0;0;0;0;0;152
"320370";"MUNIZ FREIRE";0;0;0;3;128;26;7;20;10;3;0;2;3;0;7;15;13;7;0;23;0;2;0;17;5;0;0;0;1;0;292
"320380";"MUQUI";1;0;0;2;154;12;6;9;10;2;0;0;1;0;9;12;14;6;0;12;7;0;0;31;5;0;0;0;0;0;293
"320390";"NOVA VENECIA";1;0;0;24;409;14;45;33;63;10;1;6;8;2;28;63;77;19;0;68;3;6;0;17;15;0;0;0;0;1;913
"320400";"PANCAS";0;0;0;23;81;18;1;2;23;2;0;2;2;1;10;22;28;2;1;26;0;0;0;16;7;0;0;0;1;1;269
"320405";"PEDRO CANARIO";0;1;0;5;480;15;15;31;29;2;0;1;1;2;10;16;31;0;0;32;3;4;0;17;11;0;0;0;0;0;706
"320410";"PINHEIROS";0;2;0;2;318;6;28;10;35;1;0;0;3;1;7;12;28;2;0;46;3;9;0;10;5;0;0;0;0;0;528
